logs__queries__correct,logs__queries__error,logs__users,logs__timestamp,dia,mes,aux,año,time,hora,min
292,1,293,3/8/18 13:00,3,8,18 13:00,18,13:00,13,0
308,1,309,3/8/18 13:15,3,8,18 13:15,18,13:15,13,15
288,3,291,3/8/18 13:30,3,8,18 13:30,18,13:30,13,30
343,7,350,3/8/18 13:45,3,8,18 13:45,18,13:45,13,45
302,2,304,3/8/18 14:00,3,8,18 14:00,18,14:00,14,0
322,2,324,3/8/18 14:15,3,8,18 14:15,18,14:15,14,15
351,3,354,3/8/18 14:30,3,8,18 14:30,18,14:30,14,30
351,3,354,3/8/18 14:45,3,8,18 14:45,18,14:45,14,45
352,5,357,3/8/18 15:00,3,8,18 15:00,18,15:00,15,0
378,3,373,3/8/18 15:15,3,8,18 15:15,18,15:15,15,15
383,3,386,3/8/18 15:30,3,8,18 15:30,18,15:30,15,30
412,1,413,3/8/18 15:45,3,8,18 15:45,18,15:45,15,45
390,4,394,3/8/18 16:00,3,8,18 16:00,18,16:00,16,0
504,1,505,3/8/18 16:15,3,8,18 16:15,18,16:15,16,15
501,4,505,3/8/18 16:30,3,8,18 16:30,18,16:30,16,30
508,11,514,3/8/18 16:45,3,8,18 16:45,18,16:45,16,45
447,9,456,3/8/18 17:00,3,8,18 17:00,18,17:00,17,0
657,8,665,3/8/18 17:15,3,8,18 17:15,18,17:15,17,15
586,6,592,3/8/18 17:30,3,8,18 17:30,18,17:30,17,30
473,7,480,3/8/18 17:45,3,8,18 17:45,18,17:45,17,45
434,6,440,3/8/18 18:00,3,8,18 18:00,18,18:00,18,0
496,4,500,3/8/18 18:15,3,8,18 18:15,18,18:15,18,15
505,4,509,3/8/18 18:30,3,8,18 18:30,18,18:30,18,30
499,4,503,3/8/18 18:45,3,8,18 18:45,18,18:45,18,45
463,6,469,3/8/18 19:00,3,8,18 19:00,18,19:00,19,0
553,5,558,3/8/18 19:15,3,8,18 19:15,18,19:15,19,15
536,7,543,3/8/18 19:30,3,8,18 19:30,18,19:30,19,30
523,9,532,3/8/18 19:45,3,8,18 19:45,18,19:45,19,45
500,6,506,3/8/18 20:00,3,8,18 20:00,18,20:00,20,0
612,6,618,3/8/18 20:15,3,8,18 20:15,18,20:15,20,15
551,6,557,3/8/18 20:30,3,8,18 20:30,18,20:30,20,30
568,8,576,3/8/18 20:45,3,8,18 20:45,18,20:45,20,45
522,3,525,3/8/18 21:00,3,8,18 21:00,18,21:00,21,0
545,3,548,3/8/18 21:15,3,8,18 21:15,18,21:15,21,15
557,6,563,3/8/18 21:30,3,8,18 21:30,18,21:30,21,30
600,4,604,3/8/18 21:45,3,8,18 21:45,18,21:45,21,45
526,2,528,3/8/18 22:00,3,8,18 22:00,18,22:00,22,0
